"營業日","時間","人員","營業額","現金","信用卡","其他支付","留存金","其他收入","其他支出","作廢總額","短溢"
"2022-08-31","=""2022-08-31 17:17:12 開班<br/>2022-09-01 01:53:57 小結""","90466979","56,854","858","0","55,996","10,000","0","0","3,871","0"
"2022-08-31","=""2022-09-01 01:54:00 關帳""","90466979","56,854","858","0","55,996","0","0","0","3,871","0"
"2022-08-30","=""2022-08-30 02:18:11 開班<br/>2022-08-31 01:56:24 小結""","90466979","7,301","0","0","7,301","10,000","2,150","2,150","0","-2,150"
"2022-08-30","=""2022-08-31 01:56:27 關帳""","90466979","7,301","0","0","7,301","0","2,150","2,150","0","-2,150"
"2022-08-29","=""2022-08-29 02:00:38 開班<br/>2022-08-30 02:01:33 小結""","90466979","29,177","5,147","0","24,030","10,000","0","600","850","0"
"2022-08-29","=""2022-08-30 02:01:37 關帳""","90466979","29,177","5,147","0","24,030","0","0","600","850","0"
"2022-08-28","=""2022-08-28 16:49:34 開班<br/>2022-08-29 01:34:31 小結""","90466979","25,931","598","0","25,333","10,000","0","375","100","0"
"2022-08-28","=""2022-08-29 01:34:34 關帳""","90466979","25,931","598","0","25,333","0","0","375","100","0"
"2022-08-27","=""2022-08-27 03:38:05 開班<br/>2022-08-28 02:48:00 小結""","90466979","60,906","13,348","0","47,558","10,000","0","0","2,178","0"
"2022-08-27","=""2022-08-28 02:48:04 關帳""","90466979","60,906","13,348","0","47,558","0","0","0","2,178","0"
"2022-08-26","=""2022-08-26 02:00:11 開班<br/>2022-08-27 03:36:44 小結""","90466979","100,200","15,548","0","84,652","10,000","0","0","19,404","-2,299"
"2022-08-26","=""2022-08-27 03:36:56 關帳""","90466979","100,200","15,548","0","84,652","0","0","0","19,404","-2,299"
"2022-08-25","=""2022-08-25 02:18:35 開班<br/>2022-08-26 01:36:02 小結""","90466979","14,939","4,115","0","10,824","10,000","85","0","0","0"
"2022-08-25","=""2022-08-26 01:36:35 關帳""","90466979","14,939","4,115","0","10,824","0","85","0","0","0"
"2022-08-24","=""2022-08-24 16:59:27 開班<br/>2022-08-25 01:44:24 小結""","90466979","54,063","875","0","53,188","10,000","0","168","0","0"
"2022-08-24","=""2022-08-25 01:44:26 關帳""","90466979","54,063","875","0","53,188","0","0","168","0","0"
"2022-08-23","=""2022-08-23 02:17:32 開班<br/>2022-08-24 01:41:47 小結""","90466979","19,767","4,235","0","15,532","10,000","0","0","0","0"
"2022-08-23","=""2022-08-24 01:41:56 關帳""","90466979","19,767","4,235","0","15,532","0","0","0","0","0"
"2022-08-22","=""2022-08-22 17:35:41 開班<br/>2022-08-23 02:11:18 小結""","90466979","52,800","4,571","0","48,229","10,000","0","500","0","0"
"2022-08-22","=""2022-08-23 02:11:21 關帳""","90466979","52,800","4,571","0","48,229","0","0","500","0","0"
"2022-08-21","=""2022-08-21 17:22:08 開班<br/>2022-08-22 01:55:33 小結""","90466979","27,123","9,272","0","17,851","10,000","0","900","2,838","0"
"2022-08-21","=""2022-08-22 01:55:36 關帳""","90466979","27,123","9,272","0","17,851","0","0","900","2,838","0"
"2022-08-20","=""2022-08-20 03:26:26 開班<br/>2022-08-21 02:31:49 小結""","90466979","62,656","3,785","0","58,871","10,000","2","3,787","0","0"
"2022-08-20","=""2022-08-21 02:31:52 關帳""","90466979","62,656","3,785","0","58,871","0","2","3,787","0","0"
"2022-08-19","=""2022-08-19 17:48:32 開班<br/>2022-08-20 03:23:26 小結""","90466979","115,732","23,835","0","91,897","10,000","0","750","1,243","0"
"2022-08-19","=""2022-08-20 03:23:30 關帳""","90466979","115,732","23,835","0","91,897","0","0","750","1,243","0"
"2022-08-18","=""2022-08-18 02:03:14 開班<br/>2022-08-19 00:37:40 小結""","90466979","9,723","325","0","9,398","10,000","750","750","2,047","0"
"2022-08-18","=""2022-08-19 00:37:43 關帳""","90466979","9,723","325","0","9,398","0","750","750","2,047","0"
"2022-08-17","=""2022-08-17 17:18:22 開班<br/>2022-08-18 01:41:13 小結""","90466979","37,833","15,367","0","22,466","10,000","600","460","0","0"
"2022-08-17","=""2022-08-18 01:41:17 關帳""","90466979","37,833","15,367","0","22,466","0","600","460","0","0"
"2022-08-16","=""2022-08-16 17:42:58 開班<br/>2022-08-17 01:38:12 小結""","90466979","12,690","3,637","0","9,053","10,000","0","676","0","0"
"2022-08-16","=""2022-08-17 01:38:16 關帳""","90466979","12,690","3,637","0","9,053","0","0","676","0","0"
"2022-08-15","=""2022-08-15 02:07:00 開班<br/>2022-08-16 01:50:22 小結""","90466979","22,811","3,533","0","19,278","10,000","0","30","0","0"
"2022-08-15","=""2022-08-16 01:50:26 關帳""","90466979","22,811","3,533","0","19,278","0","0","30","0","0"
"2022-08-14","=""2022-08-14 17:47:07 開班<br/>2022-08-15 01:49:46 小結""","90466979","28,778","6,382","0","22,396","10,000","0","0","1,540","0"
"2022-08-14","=""2022-08-15 01:50:16 關帳""","90466979","28,778","6,382","0","22,396","0","0","0","1,540","0"
"2022-08-13","=""2022-08-13 03:02:15 開班<br/>2022-08-14 02:45:54 小結""","90466979","79,670","14,626","0","65,044","10,000","0","2,599","0","0"
"2022-08-13","=""2022-08-14 02:45:57 關帳""","90466979","79,670","14,626","0","65,044","0","0","2,599","0","0"
"2022-08-12","=""2022-08-12 15:51:33 開班<br/>2022-08-13 02:40:39 小結""","90466979","79,511","24,223","0","55,288","10,000","0","1,663","0","0"
"2022-08-12","=""2022-08-13 02:40:41 關帳""","90466979","79,511","24,223","0","55,288","0","0","1,663","0","0"
"2022-08-11","=""2022-08-11 02:00:52 開班<br/>2022-08-12 01:40:34 小結""","90466979","20,799","4,441","0","16,358","10,000","0","0","0","0"
"2022-08-11","=""2022-08-12 01:40:54 關帳""","90466979","20,799","4,441","0","16,358","0","0","0","0","0"
"2022-08-10","=""2022-08-10 02:07:20 開班<br/>2022-08-11 01:40:05 小結""","90466979","16,907","2,628","0","14,279","10,000","0","0","418","0"
"2022-08-10","=""2022-08-11 01:40:07 關帳""","90466979","16,907","2,628","0","14,279","0","0","0","418","0"
"2022-08-09","=""2022-08-09 02:05:12 開班<br/>2022-08-10 01:56:22 小結""","90466979","32,397","2,596","0","29,801","10,000","0","70","0","0"
"2022-08-09","=""2022-08-10 01:56:24 關帳""","90466979","32,397","2,596","0","29,801","0","0","70","0","0"
"2022-08-08","=""2022-08-09 01:58:08 開班<br/>2022-08-09 02:04:54 小結""","90466979","0","0","0","0","10,000","0","0","0","0"
"2022-08-08","=""2022-08-08 17:15:24 開班<br/>2022-08-09 01:52:50 小結""","90466979","17,496","1,588","0","15,908","10,000","0","1,578","0","0"
"2022-08-08","=""2022-08-09 01:52:53 關帳""","90466979","17,496","1,588","0","15,908","0","0","1,578","0","0"
"2022-08-08","=""2022-08-09 02:04:59 關帳""","90466979","0","0","0","0","0","0","0","0","0"
"2022-08-07","=""2022-08-07 02:49:07 開班<br/>2022-08-08 01:53:19 小結""","90466979","34,407","12,266","0","22,141","10,000","0","0","6,402","0"
"2022-08-07","=""2022-08-08 01:53:22 關帳""","90466979","34,407","12,266","0","22,141","0","0","0","6,402","0"
"2022-08-06","=""2022-08-06 02:48:29 開班<br/>2022-08-07 02:34:19 小結""","90466979","73,358","23,494","0","49,864","10,000","0","0","0","0"
"2022-08-06","=""2022-08-07 02:34:23 關帳""","90466979","73,358","23,494","0","49,864","0","0","0","0","0"
"2022-08-05","=""2022-08-05 02:00:28 開班<br/>2022-08-06 02:44:01 小結""","90466979","83,967","8,211","0","75,756","10,000","0","425","0","0"
"2022-08-05","=""2022-08-06 02:44:03 關帳""","90466979","83,967","8,211","0","75,756","0","0","425","0","0"
"2022-08-04","=""2022-08-04 16:55:58 開班<br/>2022-08-05 01:49:45 小結""","90466979","68,241","25,871","0","42,370","10,000","0","0","0","0"
"2022-08-04","=""2022-08-05 01:49:48 關帳""","90466979","68,241","25,871","0","42,370","0","0","0","0","0"
"2022-08-03","=""2022-08-03 17:28:08 開班<br/>2022-08-04 01:38:31 小結""","90466979","24,879","11,148","0","13,731","10,000","0","1,826","1,037","0"
"2022-08-03","=""2022-08-04 01:38:34 關帳""","90466979","24,879","11,148","0","13,731","0","0","1,826","1,037","0"
"2022-08-02","=""2022-08-02 02:00:14 開班<br/>2022-08-03 01:38:49 小結""","ian","18,681","1,409","0","17,272","10,000","0","648","5,544","0"
"2022-08-02","=""2022-08-03 01:38:52 關帳""","ian","18,681","1,409","0","17,272","0","0","648","5,544","0"
"2022-08-01","=""2022-08-01 02:57:21 開班<br/>2022-08-02 01:34:56 小結""","90466979","31,243","9,403","0","21,840","10,000","0","0","0","0"
"2022-08-01","=""2022-08-02 01:35:02 關帳""","90466979","31,243","9,403","0","21,840","0","0","0","0","0"